Month,INFOSYS LTD.18ER,INFOSYS LTD.17ER,MAHINDRA & MAHINDRA LTD.17ER,INFOSYS LTD.16ER,INDUSIND BANK LTD.16ER,INFOSYS LTD.15ER,BAJAJ AUTO LTD.15ER,MAHINDRA & MAHINDRA LTD.15ER,INDUSIND BANK LTD.15ER,INFOSYS LTD.14ER,INDUSIND BANK LTD.14ER,STATE BANK OF INDIA14ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.14ER,meanER
January-2018,10.71,,,,,,,,,,,,,10.71
February-2018,2.05,,,,,,,,,,,,,2.05
March-2018,-3.39,,,,,,,,,,,,,-3.39
April-2018,5.73,,,,,,,,,,,,,5.73
May-2018,2.71,,,,,,,,,,,,,2.71
June-2018,6.08,,,,,,,,,,,,,6.08
July-2018,4.46,,,,,,,,,,,,,4.46
August-2018,5.49,,,,,,,,,,,,,5.49
September-2018,-49.45,,,,,,,,,,,,,-49.45
October-2018,-5.72,,,,,,,,,,,,,-5.72
November-2018,-2.88,,,,,,,,,,,,,-2.88
December-2018,-1.0,,,,,,,,,,,,,-1.0
January-2017,,-8.05,4.64,,,,,,,,,,,-1.71
February-2017,,8.93,5.45,,,,,,,,,,,7.19
March-2017,,0.84,-1.7,,,,,,,,,,,-0.43
April-2017,,-9.93,3.88,,,,,,,,,,,-3.02
May-2017,,6.26,6.13,,,,,,,,,,,6.2
June-2017,,-4.23,-4.85,,,,,,,,,,,-4.54
July-2017,,8.09,4.03,,,,,,,,,,,6.06
August-2017,,-9.49,-4.08,,,,,,,,,,,-6.78
September-2017,,-1.81,-6.77,,,,,,,,,,,-4.29
October-2017,,2.55,7.28,,,,,,,,,,,4.92
November-2017,,5.78,4.87,,,,,,,,,,,5.32
December-2017,,6.6,-46.75,,,,,,,,,,,-20.08
January-2016,,,,5.46,-4.32,,,,,,,,,0.57
February-2016,,,,-6.96,-10.36,,,,,,,,,-8.66
March-2016,,,,12.38,16.46,,,,,,,,,14.42
April-2016,,,,-0.58,8.43,,,,,,,,,3.92
May-2016,,,,3.22,5.18,,,,,,,,,4.2
June-2016,,,,-6.33,0.64,,,,,,,,,-2.84
July-2016,,,,-8.27,6.06,,,,,,,,,-1.1
August-2016,,,,-3.46,0.59,,,,,,,,,-1.44
September-2016,,,,0.13,0.96,,,,,,,,,0.54
October-2016,,,,-3.43,-0.14,,,,,,,,,-1.78
November-2016,,,,-2.7,-8.81,,,,,,,,,-5.76
December-2016,,,,3.61,1.66,,,,,,,,,2.64
January-2015,,,,,,8.7,-2.01,2.31,8.53,,,,,4.38
February-2015,,,,,,7.1,-9.52,2.26,5.16,,,,,1.25
March-2015,,,,,,-3.41,-6.68,-8.08,-3.65,,,,,-5.46
April-2015,,,,,,-12.37,-3.37,-3.54,-6.63,,,,,-6.48
May-2015,,,,,,4.12,18.75,10.05,6.16,,,,,9.77
June-2015,,,,,,-51.28,9.53,1.67,-0.3,,,,,-10.09
July-2015,,,,,,9.41,-0.65,6.28,12.1,,,,,6.78
August-2015,,,,,,1.59,-10.49,-10.18,-12.35,,,,,-7.86
September-2015,,,,,,5.96,2.43,3.09,9.96,,,,,5.36
October-2015,,,,,,-2.1,10.38,-6.2,-3.3,,,,,-0.3
November-2015,,,,,,-4.19,-2.67,15.62,2.45,,,,,2.8
December-2015,,,,,,1.48,2.09,-7.0,3.78,,,,,0.09
February-2014,,,,,,,,,,3.26,3.56,0.4,1.28,2.12
March-2014,,,,,,,,,,-14.17,26.1,25.24,8.0,11.29
April-2014,,,,,,,,,,-3.1,-4.43,8.37,1.56,0.6
May-2014,,,,,,,,,,-7.42,11.45,22.27,-2.33,5.99
June-2014,,,,,,,,,,10.37,6.99,5.67,13.01,9.01
July-2014,,,,,,,,,,3.67,-1.89,-9.16,7.74,0.09
August-2014,,,,,,,,,,6.78,4.17,0.85,0.61,3.1
September-2014,,,,,,,,,,4.28,6.07,-0.74,-1.98,1.91
