,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ
0,-3.986666666666667,,February-2014,-4.58,-3.79,-3.26
1,-0.07166666666666677,,March-2014,-15.93,9.07,14.17
2,3.3833333333333333,,April-2014,3.22,3.8,3.1
3,-4.2125,,May-2014,-17.17,3.26,7.42
4,-9.391666666666667,,June-2014,-9.99,-7.91,-10.37
5,-0.37083333333333335,,July-2014,1.12,0.24,-3.67
6,-7.4825,,August-2014,-10.69,-4.0,-6.78
7,-3.4433333333333334,,September-2014,-1.32,-5.47,-4.28
8,0.14583333333333304,,October-2014,0.8,5.52,-8.11
9,-14.569999999999999,,November-2014,-27.28,-3.91,-7.6
10,14.39,,December-2014,-2.66,5.41,54.78
11,-14.67666666666667,,January-2015,-22.42,-9.48,-8.7
12,-8.268333333333333,,February-2015,-8.6,-8.73,-7.1
13,3.2383333333333333,,March-2015,1.91,4.77,3.41
14,12.5575,,April-2015,11.34,14.22,12.37
15,-4.585833333333333,,May-2015,-5.11,-4.28,-4.12
16,16.923333333333332,,June-2015,7.36,3.11,51.28
17,-9.07,,July-2015,-12.45,-4.59,-9.41
18,1.8108333333333335,,August-2015,5.62,-0.4,-1.59
19,3.918333333333333,,September-2015,16.58,-4.5,-5.96
20,-0.4199999999999998,,October-2015,-5.46,3.99,2.1
21,4.71,,November-2015,8.71,0.1,4.19
22,0.3966666666666667,,December-2015,0.04,2.25,-1.48
23,1.2891666666666668,,January-2016,6.57,-0.25,-5.46
24,5.780833333333334,,February-2016,3.81,7.36,6.96
25,-15.835833333333335,,March-2016,-23.89,-8.36,-12.38
26,2.8858333333333337,,April-2016,5.21,1.71,0.58
27,-5.954999999999999,,May-2016,-13.44,1.35,-3.22
28,0.3091666666666666,,June-2016,-1.28,-2.22,6.33
29,-1.477500000000001,,July-2016,-10.38,2.34,8.27
30,5.5275,,August-2016,3.15,10.05,3.46
31,3.3700000000000006,,September-2016,6.07,2.62,-0.13
32,3.2825,,October-2016,3.7,2.65,3.43
33,3.285,,November-2016,6.28,-0.02,2.7
34,-2.5183333333333335,,December-2016,-2.35,-1.91,-3.61
35,0.9358333333333335,,January-2017,-5.44,3.57,8.05
36,-3.4808333333333334,,February-2017,2.5,-6.87,-8.93
37,-4.343333333333333,,March-2017,-5.52,-5.5,-0.84
38,3.5808333333333335,,April-2017,-0.66,4.12,9.93
39,-5.147500000000001,,May-2017,-1.63,-8.71,-6.26
40,18.33416666666667,,June-2017,0.0,51.83,4.23
41,-7.2275,,July-2017,-3.14,-11.69,-8.09
42,4.683333333333334,,August-2017,8.33,-3.48,9.49
43,5.3358333333333325,,September-2017,6.88,6.05,1.81
44,-3.205,,October-2017,-2.45,-4.64,-2.55
45,0.17583333333333329,,November-2017,3.29,0.75,-5.78
46,-3.658333333333333,,December-2017,1.1,-7.4,-6.6
47,-0.17250000000000032,,January-2018,3.78,2.79,-10.71
48,2.1925,,February-2018,3.38,3.89,-2.05
49,3.3741666666666665,,March-2018,2.96,3.88,3.39
50,-4.020833333333333,,April-2018,-6.98,0.96,-5.73
51,3.7524999999999995,,May-2018,5.8,6.04,-2.71
52,0.3391666666666666,,June-2018,4.31,0.19,-6.08
53,-5.961666666666667,,July-2018,-6.92,-5.89,-4.46
54,-11.711666666666668,,August-2018,-17.63,-8.98,-5.49
55,13.994166666666668,,September-2018,9.9,-7.48,49.45
56,0.605,,October-2018,-0.18,-2.25,5.72
57,3.381666666666667,,November-2018,4.78,2.01,2.88
58,-1.8866666666666667,,December-2018,-3.8,-1.66,1.0
59,-5.644166666666667,,January-2019,4.07,-11.82,-13.6
60,0.06333333333333335,,February-2019,-0.95,-0.19,2.09
61,12.181666666666667,,March-2019,2.94,30.68,2.92
